WindSpeed_m/s,Power_Watts,ThrustCoefficient,RotorSpeed_rev/min,,tsr,rpm
0,0,0,0,,,
0.24,0,0,0,,,
0.25,283,0.7692,3.34,,,
0.3,490,0.7693,4.01,,,
0.35,778,0.7694,4.68,,,
0.4,1161,0.7697,5.35,,,
0.45,1653,0.7697,6.02,,,
0.5,2267,0.7693,6.68,,,
0.55,3018,0.7693,7.35,,,
0.6,3918,0.7694,8.02,,,
0.65,4981,0.7695,8.69,,,
0.7,6221,0.7695,9.36,,,
0.75,7652,0.7696,10.03,,,
0.8,9287,0.7696,10.7,,,
0.85,11139,0.7693,11.36,,,
0.9,13205,0.753,11.5,,,
0.95,15438,0.731,11.5,,,
1,17034,0.6296,11.5,,,
1.05,16918,0.4928,11.5,,,
1.1,16829,0.4088,11.5,,,
1.15,16741,0.3471,11.5,,,
1.2,16732,0.3005,11.5,,,
1.25,16724,0.2629,11.5,,,
1.3,16515,0.2292,11.5,,,
1.35,16704,0.2062,11.5,,,
1.4,16458,0.1819,11.5,,,
1.45,16737,0.1663,11.5,,,
1.5,16573,0.1491,11.5,,,
1.51,0,0,0,,,
3,0,0,0,,,
